,date,ip属地,评分,comments
0,2023-02-28,上海,5,交通工具:我们选择的是从上海出发坐高铁到杭州东站 乘坐地铁一号线到龙翔桥A地铁口出来直走就可以到湖边这个地方名字是一公园 我们走的是左边去坐船 (右边是去断桥和白堤的路)船分为豪华版50￥还有休闲版35￥在微信预约好船票搜索西湖船票就OK啦 登湖心岛看三潭印月 到达湖心岛以后往左走一段路就可以看到三潭映月啦 (一元纸币的背面)下岛有四个出口可以自选 我们选择的是苏堤花港观鱼码头去看雷峰塔和苏堤 坐十块钱一段的观光车到岳王庙 然后坐1314路公交车就可以到达白堤和断桥了6我们的酒店是在武林夜。市附近的 离断桥很近 一天走下来肯定很累了的 我们是去酒店休息了 晚上去了武林夜市打卡。
1,2023-02-28,辽宁,5,【趣味】这家饭店可以说是当地最好的啦！！真的是好吃，没想到，这么简单的食物，这家店竟然能够做的这么好吃。，这下可成了家门口的食堂啦。以后有时间就一定要来这里好好大餐一顿。 店虽然不大，但是环境很干净，整洁。在这里吃饭，给人就是舒适的感觉。 希望店家越来越好，越做越大！
2,2023-05-12,北京,5,给大家康康五一的西湖—— 五月一日，假期第三天，今天发这个就是给大家分享一下“报复性旅游”大背景下五一长假里西湖边的景象。 其实前天就已经游过西湖了，特意安排假期前一天晚上就抵达了杭州，然后假期前一天上午，冒着小雨过断桥、走白堤、参观西泠印社、徜徉苏堤，虽然来过杭州几次了，但每次一定要来湖边，时间允许还要步行环湖，因为实在太爱西湖的景色了。虽然前天上午湖边也人多，但并没有出现人山人海摩肩擦踵的情景，一方面是阴雨天的关系“劝退”了一部分游客，另一方面是当时大多数游客还在赶来杭州的路程之上呢，故此也算是“错峰游览”了吧。 今天主要目标是河坊街，来西湖就是顺路看看东岸和南岸，毕竟游客最爱去的湖滨景点应该是断桥和白堤苏堤吧，想着也许人会少一点儿。没想到打车到湖边一公里外就彻底拥堵到寸步难行，只好下车步行到湖边，远远望去湖边黑压压全是脑袋，排队坐船的队伍已经到了几百米开外，想在湖边走上一段都极其困难。即便这么拥挤了，还有不少大爷大妈在湖边外围区域跳广场舞、唱露天KTV，音响声音开得极大，震得脑仁儿疼，想赶紧离开偏偏还被人群簇拥着走不动，真是受罪。还好我已经对西湖比较熟悉了，看过了旅游淡季时平静悠然的景象，否则让一个第一次来西湖的人看到眼前人潮汹涌的情景，怕是要彻底失去对西湖的好印象了。还好湖面上景色依然美好，今天还是个大晴天，碧波荡漾、小舟飘荡，无论何时西湖美景都能令人心旷神怡，只是岸上被万众簇拥的游客还能看得进多少风景呢？
3,2023-05-07,江苏,5,三潭印月完全值得打卡，如果人少一点，淡季去的话那绝对是走走停停逛逛的美景地。西湖边的执勤非常得给力，安排也很妥帖，值得一去。船上风光就是不一样。
4,2023-02-03,陕西,5,慕名而来！虽然是冬季低温出行，但也别有一番风味！值得在不同季节前去打卡体会。期待下次邂逅西子的春柳拂堤，夏荷滚珠，秋月弄湖，冬雪怜人！
5,2023-05-10,上海,5,在西湖边上逛了很久了！然后去附近的商场里面买冰淇淋，吃完DQ就想按照原计划去北高峰爬个山了，当然是因为和朋友一起去爬！但是他不肯...于是我们买票坐了缆车，一边升高一边在讨论那个冰淇淋也不知道什么时候能消化掉哈哈哈哈
6,2023-04-12,上海,5,西子湖畔是指西湖的岸边，现在一般是杭州的美称。大多数游客都是在西子湖畔游览着美丽的西湖，在美丽的西子湖畔有着很多美丽的故事，感人至深。古代许仙在西子湖畔遇到了美若天仙的白娘子，断桥鉴证了他们那一段感动天地的爱情，见证了西施与范蠡的痴缠，成为传世的佳话。美丽的西湖总是有美女相伴，游客的迷恋.....#轻奢旅行
7,2023-02-14,江苏,5,西湖之美已不用多说，个人感觉清晨傍晚时分分外迷人，沿白堤苏堤走走，还是非常愉悦的，人轻松自在，清风拂面，爽朗舒适，乘舟泛湖，悠然自得。 清晨湖面静谧，当一缕晨光透过薄雾照射湖面，湖面泛起一片红晕，如梦如幻，如诗如画。当傍晚太阳西下时分，落日余晖映红了大半湖水，倍感日子无限美好！
8,2022-12-23,浙江,5,杭州西湖其实是个广义的景点，西湖真的是很大，环绕着西湖，有许多景点，可圈可点的著名的景点就有很多，如西湖十景，其实再扩展一些，西湖五十景都是可以的。这是我在银泰百货西湖店附近拍摄的，那里刚好有一个西湖游船码头，游客们可以乘坐仿古游船畅游西湖，享受西湖美景。
9,2023-04-08,河南,5,是最值的去的地方，风景优美，人文更丰富，而且名气极度响亮！就在杭州市区，生活方便，随处有美食，步步是景点，而且从西湖到周边景区公交打车都方便，如果在西湖边的宾馆入住，才真是修闲又赏景呢！
